# Populated places used to name carpool stops. GENERATED FILE — do not edit.
# Regenerate with scripts/generate-places.mjs (see that file for the source data).
#
# Source: GeoNames (https://www.geonames.org/), licensed CC BY 4.0.
# Norway: every populated place. Sweden: those within 150 km of Norway.
#
# One place per line: name|latitude|longitude
Badderen, Kvænangen|69.8452|22.0261
Badderbotn, Kvænangen|69.85|22.0333
Austertana, Tana|70.4393|28.4884
Årvik, Skjervøy|70.1935|20.5313
Årøybukt, Lyngen|69.6401|20.329
Arnøyhamn, Skjervøy|70.0527|20.6324
Arildseng, Nordreisa|69.9172|21.2922
Andsnes, Loppa|70.2351|21.2369
Andersby, Vadsø|70.0908|29.5966
Alteidet, Kvænangen|70.029|22.0943
Akkarvik, Skjervøy|70.0641|20.4925
Akkarfjord, Hammerfest|70.7947|23.4091
Akkarfjord, Skjervøy|70.05|20.5
Áisaroaivi, Hammerfest|70.269|24.1009
Aidejavre, Kautokeino|68.7525|23.3041
Vestertana, Tana|70.4273|27.8809
Áppošborri, Nesseby|70.1634|28.7912
Ođđajohka, Nesseby|70.072|28.8478
Grense Jakobselv, Sør-Varanger|69.7752|30.8303
Kariel, Vadsø|70.1007|29.3802
Bekkarfjord, Lebesby|70.5894|27.279
Skogende, Porsanger|70.0833|25.05
Solstrand, Skjervøy|70.1167|20.75
Store Kvalfjord, Alta|70.318|22.8683
Isnestoften, Alta|70.1341|22.9892
Bakkevoll, Kvænangen|70.0092|21.6158
Nålelv, Kvænangen|69.9553|21.9964
Buktenes, Kvænangen|69.9539|22.0006
Vågen, Kvænangen|69.9317|21.7214
Mattisnes, Nordreisa|69.9217|20.9867
Skomakareidet, Nordreisa|69.9289|20.9508
Ytre Bakkeby, Nordreisa|69.8635|20.8837
Ravelseidbotn, Nordreisa|69.8492|20.8553
Bakkeby Indre, Nordreisa|69.8507|20.8487
Haugen, Nordreisa|69.8428|21.0608
Grinde, Nordreisa|69.8508|21.0614
Sandelva, Nordreisa|69.9133|21.3233
Bankenes, Kvænangen|69.8839|21.8969
Karvik, Kvænangen|69.8469|21.8263
Bjerknes, Nordreisa|69.8308|21.0369
Ørnes, Lyngen|69.4939|20.2303
Indrefjord, Hammerfest|70.6353|23.6792
Skakkebakken, Hammerfest|70.5391|23.392
Midtre Baklia, Nordkapp|70.975|25.8667
Holmbukt, Nordkapp|70.9889|25.9671
Finnbyen, Hammerfest|70.4998|23.9828
Slettelv, Hammerfest|70.5031|24.0617
Sand, Alta|69.9986|23.0972
Alta|69.9689|23.2717
Rypefjord, Hammerfest|70.6413|23.6721
Vrangsund, Larvik|59.0342|9.8207
Ulrikka, Porsgrunn|59.05|9.7
Skarpenor, Bamble|59|9.75
Setre, Porsgrunn|59.0569|9.6988
Lerangen, Larvik|59|9.85
Kjellestad, Bamble|59.0333|9.7
Kastet, Larvik|59.1268|10.2704
Heistad, Porsgrunn|59.0778|9.6883
Halen, Bamble|59|9.75
Gunnekleiv, Porsgrunn|59.1|9.65
Folkvang, Porsgrunn|59.1|9.65
Brønnstad, Porsgrunn|59.0667|9.7167
Brevikstranda, Bamble|58.9758|9.6589
Svinesund, Halden|59.1012|11.2693
Sundal, Kvinnherad|60.1167|6.2833
Ytre Ålvik, Kvam|60.4167|6.3667
Årheim, Stryn|61.8833|6.7167
Å, Moskenes, Moskenes|67.8833|12.9833
Ytterstad, Lødingen|68.338|15.6585
Yttralenninga, Rana|66.3645|14.1251
Yttraheia, Rana|66.3496|14.1269
Ytteren, Rana|66.3418|14.1394
Ytrøygrend, Solund|61.0795|4.6914
Ytre-Vårdal, Askvoll|61.3371|5.1586
Ytre Torvund, Høyanger|61.15|5.65
Tomasjord, Balsfjord|69.342|19.3879
Strai, Kristiansand|58.1893|7.9283
Ytre Søndeled, Risør|58.75|9.3
Ytre Skor, Hyllestad|61.2333|5.3333
Skålevik, Kristiansand|58.0795|8.016
Ytre Røynestad, Kvinesdal|58.3667|6.95
Ytre Roksvåg, Smøla|63.4333|8.1333
Ytre Reksta, Kinn|61.5667|4.8167
Ytre Ramse, Åmli|58.7667|8.25
Ytre Øydna, Lyngdal|58.3667|7.35
Ytre Oppedal, Gulen|61.0569|5.512
Ytre Matre, Kvinnherad|59.8167|6
Ytre Leines, Leirfjord|66.0333|12.6667
Ytre Kvarøya, Lurøy|66.4833|12.9
Ytre Knarrvik, Aure|63.2167|8.15
Ytre Honningsvåg, Stad|62.1987|5.1809
Ytre Hoddøy, Namsos|64.4833|11.2333
Ytre Byrte, Tokke|59.5441|7.8153
Ytre Berg, Lyngen|69.65|19.8333
Ytre Åsarøy, Suldal|59.4167|6.1167
Indre Årnes, Senja|69.4109|17.9976
Ytre Arna, Bergen|60.4618|5.4326
Ytre Ålvik, Ullensvang|60.3833|6.3667
Alsåker, Ullensvang|60.3912|6.5021
Ytre Ådal, Ringerike|60.2667|10.1833
Ytraland, Karmøy|59.3052|5.2263
Ystrebø, Høyanger|61.0667|5.9167
Ystrebø, Høyanger|61.0667|5.6833
Ystnes, Røst|67.5167|12.0833
Ystheim, Kvam|60.3333|6.2
Ystebraut, Eigersund|58.4333|5.9167
Ystebø, Alver|60.6924|5.0402
Ystanes, Ullensvang|60.3833|6.6833
Ystabø, Kvitsøy|59.0607|5.3999
Yset, Tynset|62.5657|10.3223
Yndestad, Askvoll|61.4333|5.1333
Yndesdal, Gulen|60.95|5.3833
Yli, Notodden|59.5667|9.1833
Yksnedal, Sirdal|58.6|6.7333
Ygre, Voss|60.65|6.5
Ydersbotn, Aurskog-Høland|59.6333|11.5167
Vutudal, Orkland|63.3463|9.4278
Vullum, Trondheim|63.4167|10.35
Vrålstad, Drangedal|59.1213|8.8643
Vråliosen, Kviteseid|59.3633|8.1705
Vøyen, Gran|60.3333|10.5833
Vottestad, Øksnes|68.9667|15.0167
Voster, Strand|59.1|6.0167
Vossestrand, Voss|60.8|6.6
Voss|60.6287|6.4147
Vorpstranda, Åfjord|64.1167|10.2167
Vormsund, Nes|60.1534|11.416
Vormestrand, Suldal|59.4217|5.9169
Vormeli, Risør|58.75|9.0667
Vorland, Øygarden|60.2267|5.0717
Voreland, Vennesla|58.35|8.0333
Vordnes, Bømlo|59.75|5.2167
Vonngrova, Holtålen|62.7833|11.35
Vølstad, Drangedal|59.0667|8.8167
Vølstad, Gjesdal|58.8|6.05
Vølset, Steinkjer|63.8667|10.8
Vollstad, Tromsø|69.5333|18.6333
Vollstad, Harstad|68.65|16.6067
Vollo, Alver|60.6394|5.21
Vollen, Tromsø|69.5753|18.633
Vollen, Frosta|63.6167|10.8333
Vollen, Aure|63.4167|8.7167
Vollen, Heim|63.35|9.3
Vollen, Melhus|63.3|10.3333
Vollen, Vestre Slidre|61.0944|8.9752
Vollen, Asker|59.8077|10.4849
Vollebekk, Vestby|59.6167|10.7833
Vollan, Fauske|67.2769|15.1211
Vollagjerdet, Melhus|63.1|10.2667
Volla, Elverum|60.8333|11.6333
Volla, Lunner|60.3|10.6
Voll, Vestvågøy|68.2|13.6833
Voll, Ålesund|62.4667|6.85
Voll, Skien|59.1273|9.507
Voll, Klepp|58.806|5.605
Volem, Heim|63.05|8.25
Vøle, Øystre Slidre|61.15|9.05
Volden, Frøya|63.7|8.5667
Volda|62.146|6.0711
Voktor, Kvæfjord|68.7333|16.2833
Voksa, Sande|62.2167|5.4833
Vestbygda, Lødingen|68.3473|15.5102
Vognillan, Oppdal|62.6157|9.5688
Vivollen, Tynset|62.1|10.8333
Viviki, Vinje|59.7167|7.1667
Viul, Ringerike|60.2018|10.3443
Vitting, Vestvågøy|68.1|13.4667
Vistvik, Randaberg|59|5.5833
Visthus, Vevelstad|65.7252|12.5981
Vister, Sarpsborg|59.2833|11.0167
Viste, Vestre Slidre|61.0333|9.1
Viste, Randaberg|58.9833|5.6
Vistad, Tokke|59.45|7.9333
Visnes, Stryn|61.8987|6.7104
Visnes, Karmøy|59.3566|5.2381
Virik, Sandefjord|59.1167|10.2167
Viperud, Notodden|59.6|9.1167
Viosen, Snåase - Snåsa|64.2506|12.3681
Vinstra, Nord-Fron|61.595|9.7513
Vinsternes, Aure|63.252|8.3101
Vinsnes, Midtre Gauldal|62.95|10.6167
Vinnes, Bjørnafjorden|60.1542|5.5856
Vinnes, Austevoll|60.0102|5.2665
Vinknes, Steigen|67.7256|15.2927
Vinjo, Luster|61.3167|7.1833
Vinjesvingen, Vinje|59.6226|7.812
Vinje, Vågan|68.3226|14.2014
Vinjeøra, Heim|63.2064|8.9847
Vinje, Fjord|62.3833|7
Vinje, Voss|60.7918|6.5085
Store Vinje, Dyrøy|69.0167|17.3833
Vingvågen, Hitra|63.5167|9.3
Vingsand, Osen|64.3477|10.4636
Vingnes, Lillehammer|61.1051|10.4445
Vingelen, Tolga|62.4172|10.8619
Vinge, Stjørdal|63.4914|10.7774
Vines, Ullensvang|60.4153|6.5265
Vindenes, Øygarden|60.4226|5.0007
Vindheim, Askvoll|61.3667|5.2667
Vindedalen, Lærdal|61.1196|7.3306
Vindås, Osterøy|60.4667|5.55
Villen, Rana|66.3167|14.3667
Vilberg, Lillestrøm|60.0333|11.15
Viland, Vindafjord|59.5833|5.7167
Vikan, Aure|63.3719|8.6891
Vikum, Høyanger|61.1667|5.7167
Vikten, Flakstad|68.1401|13.3163
Vikstraum, Hitra|63.6333|8.7833
Viksøyri, Sogndal|61.1667|6.5833
